Q1,Q2,Q3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q6_1_a,Q6_1_b,Q6_2_a,Q6_2_b,Q6_3_a,Q6_3_b,Q6_4_a,Q6_4_b,Q6_5_a,Q6_5_b,Q6_6_a,Q6_6_b,Q7,Q7_1_a,Q7_1_b,Q7_2_a,Q7_2_b,Q7_3_a,Q7_3_b,Q7_4_a,Q7_4_b,Q7_5_a,Q7_5_b,Q7_6_a,Q7_6_b,Q8,Q8_1_a,Q8_1_b,Q8_2_a,Q8_2_b,Q8_3_a,Q8_3_b,Q8_4_a,Q8_4_b,Q8_5_a,Q8_5_b,Q8_6_a,Q8_6_b,Q9,Q9_1_a,Q9_2_a,Q9_3_a,Q9_4_a,Q9_5_a,Q9_6_a,Q10,Q10_1_a,Q10_2_a,Q10_3_a,Q10_4_a,Q10_5_a,Q10_6_a,Q11,Q11_1_a,Q11_2_a,Q11_3_a,Q11_4_a,Q11_5_a,Q11_6_a,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15,Q16,Q17,Q18,Q19,Q19_1
1,60de4818f3b6f831f4892900,,5,6,3,5,5,3,5,,6,2,5,5,2,6,3,,4,5,3,2,6,6,,6,1,4,1,4,1,4,1,4,1,5,1,,5,1,2,2,6,1,5,1,6,1,6,1,,6,1,2,2,4,1,2,2,5,1,6,1,,1,2,2,1,1,1,,1,2,1,1,1,1,,1,2,2,2,1,1,2,23,1,0,0,0,0,0,0,0,0,0,0,5,2,3,9,,4
1,5d53a50c7c361100012cd0e7,,4,3,4,4,5,4,5,,4,3,3,4,2,4,3,,2,1,5,4,4,5,,4,2,5,1,5,1,4,1,5,1,4,1,,6,1,3,2,6,1,3,2,3,2,4,1,,5,1,4,2,2,2,2,2,4,1,6,1,,2,1,2,1,1,2,,1,2,1,2,1,2,,1,2,2,2,1,1,1,44,1,0,0,0,0,0,0,0,0,0,0,3,2,2,9,,5
1,5b54b7ae2680970001a9a7d3,,3,4,4,3,3,2,5,,3,2,2,5,2,4,2,,2,2,5,3,3,5,,1,2,3,1,5,1,1,2,3,1,1,2,,2,2,3,1,6,1,3,1,4,1,2,1,,5,1,2,2,4,1,4,1,5,1,6,1,,2,1,1,2,1,1,,2,1,1,1,1,1,,1,2,1,1,2,1,2,30,1,0,0,0,0,0,0,0,0,0,0,1,1,3,9,,6
1,613a4fd8d13827a85e8f084c,,4,4,4,4,3,3,4,,2,2,4,4,4,4,4,,4,2,4,4,4,4,,4,1,4,1,4,1,4,1,4,1,4,1,,4,1,4,1,4,1,5,1,3,1,3,1,,3,1,4,1,4,1,3,1,4,1,3,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,2,34,1,0,0,0,0,0,0,0,0,0,0,2,1,1,9,,6
1,56b48befb2de2a000b322754,,5,5,5,4,5,3,6,,4,3,3,5,3,5,5,,5,4,4,5,4,5,,5,,6,,5,,5,,6,,5,,,6,,1,,5,,5,,5,,5,,,6,,4,,5,,4,,5,,6,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,2,55,1,0,0,0,0,0,0,0,0,0,0,6,1,3,9,,4
1,5cb23be15c3c93000184f27a,,5,5,2,3,4,3,6,,4,3,4,4,3,4,1,,3,4,5,2,6,4,,6,1,2,2,5,1,4,1,3,1,5,1,,4,1,1,2,6,1,6,1,3,1,2,2,,2,1,1,2,3,1,1,2,3,1,6,1,,1,1,1,1,1,1,,1,2,1,1,1,2,,1,2,1,2,1,1,2,22,1,0,0,0,0,0,0,0,0,0,0,5,2,2,9,,2
1,5953d852a65c420001e1a5b6,,5,5,6,5,5,4,5,,4,4,3,4,2,3,4,,2,2,5,5,3,4,,,1,,1,,1,,1,,1,,1,,,1,,1,,1,,1,,1,,1,,,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,2,59,1,0,0,0,0,0,0,0,0,0,0,2,1,3,9,,6
1,5e2ff7565cd6b4000b451ad0,,3,5,5,4,2,3,5,,3,2,4,5,2,3,2,,2,3,3,2,4,4,,5,1,3,1,3,1,4,1,2,1,4,1,,4,1,3,1,5,1,5,1,4,1,4,1,,5,1,2,2,3,1,3,1,3,1,2,1,,1,1,1,1,2,2,,1,1,1,1,1,1,,2,2,1,1,1,1,1,26,0,0,0,0,0,0,0,1,0,0,0,6,2,2,7,,3
1,63207092843011f8d7375485,,6,5,5,6,5,4,6,,4,2,2,4,2,2,5,,3,1,4,3,6,3,,1,2,3,1,4,1,5,1,1,2,1,2,,2,2,1,2,1,2,1,2,1,2,2,1,,2,2,1,2,1,2,6,1,2,2,5,1,,1,1,1,1,1,1,,2,2,1,2,2,1,,1,1,1,1,1,1,1,35,1,0,0,0,0,0,0,0,0,0,0,3,2,1,9,,6
1,60f0937892bd49086d6e2a77,,5,5,3,5,5,2,5,,5,2,5,6,2,5,3,,2,5,3,4,5,5,,6,1,6,1,5,1,6,1,6,1,6,1,,5,1,1,2,6,1,6,1,6,1,6,1,,6,1,4,1,5,,5,1,5,1,6,1,,1,1,1,1,1,1,,1,2,1,1,1,1,,1,1,1,1,1,1,1,27,1,0,0,0,0,0,0,0,0,0,0,6,2,5,9,,2
1,5edcb44d9b29b400086aa550,,6,5,5,5,5,2,5,,3,3,6,6,2,4,4,,2,3,5,5,6,5,,4,,6,,6,,5,,5,,4,,,5,,6,,5,,4,,4,,5,,,4,,3,,4,,4,,6,,6,,,2,1,1,1,1,1,,1,1,1,1,2,1,,2,1,1,1,1,1,1,36,0,0,1,0,0,0,0,0,0,0,0,6,1,3,3,,2
1,60cfaab817a4df242f52db5a,,4,5,6,5,5,5,5,,3,3,2,4,2,4,4,,1,3,3,4,4,5,,4,,4,,3,,5,,4,,4,,,1,,6,,5,,4,,4,,4,,,6,,5,,4,,5,,5,,2,,,1,1,1,1,1,2,,1,1,1,1,2,1,,1,1,1,1,1,2,2,19,1,0,0,0,0,0,0,0,0,0,0,5,2,3,1,,9
1,60d0d5e930dc4a90889b2321,,5,6,5,6,5,5,6,,6,5,6,6,5,6,5,,5,4,5,6,5,6,,,1,4,1,5,2,4,1,,1,6,1,,5,1,4,2,5,1,4,1,5,2,5,1,,6,1,4,1,6,1,5,1,3,1,6,1,,2,1,1,1,1,1,,1,1,1,2,1,1,,1,1,1,1,1,1,1,34,1,0,0,0,0,0,0,0,0,0,0,4,2,1,9,,6
1,5e831dfa79f7fb000c708f84,,4,5,2,6,5,2,6,,5,2,4,6,2,4,1,,1,4,2,1,5,6,,6,1,4,1,5,1,6,1,6,1,6,1,,6,1,3,2,6,1,6,1,6,1,4,1,,6,1,2,2,3,1,1,2,6,1,5,1,,1,1,2,1,1,2,,1,1,1,2,2,1,,2,2,2,2,1,1,2,27,1,0,0,0,0,0,0,0,0,0,0,5,2,1,9,,2
1,5bdaf1f4be21ac0001411fd6,,4,5,5,5,5,4,5,,3,4,4,5,5,3,5,,3,3,5,5,5,5,,5,1,5,1,5,1,5,1,5,1,5,1,,5,1,3,2,5,1,5,1,5,1,5,1,,5,1,3,2,4,2,5,1,5,1,5,1,,2,1,2,1,1,1,,1,2,1,2,2,2,,1,2,2,1,1,1,2,52,1,0,0,0,0,0,0,0,0,0,0,5,2,5,9,,3
1,57441f8954636a000d7865ba,,3,3,2,3,3,2,3,,2,2,3,2,1,2,1,,2,2,3,1,6,2,,3,1,3,1,3,1,3,1,4,1,4,1,,5,1,1,2,5,1,3,1,5,1,3,1,,5,1,4,1,4,1,3,1,4,1,5,1,,2,2,2,2,2,2,,1,2,2,2,2,2,,2,2,2,2,2,1,2,46,1,0,0,0,0,0,0,0,0,0,0,6,2,1,9,,3
1,5f49645bf271be4ba2e83871,,5,4,3,3,5,4,4,,4,4,5,4,2,4,5,,3,2,4,4,5,4,,3,1,6,1,5,1,3,1,4,1,1,2,,4,1,1,2,5,1,4,1,5,1,4,1,,5,1,2,2,2,2,3,2,4,1,6,1,,2,1,1,1,1,2,,1,1,1,2,1,1,,1,2,2,2,1,1,2,43,1,0,0,1,0,0,0,0,0,0,0,6,1,3,2,,5
1,6320dc0361efa1ec418ec430,,4,3,4,3,5,4,4,,3,4,3,4,5,6,3,,3,4,4,3,5,4,,4,1,4,1,5,1,4,1,4,1,4,,,5,2,4,2,6,1,3,2,5,2,4,1,,2,1,4,2,4,1,4,1,5,1,6,1,,2,1,1,2,2,1,,2,1,2,2,2,1,,2,2,1,1,1,1,1,29,0,0,1,0,0,0,0,0,0,0,0,6,2,3,9,,5
1,62ea5433d104bd127fe69663,,4,3,2,3,5,3,5,,3,2,2,5,2,4,3,,2,2,2,3,5,5,,5,1,5,2,4,2,4,2,5,1,5,2,,4,2,1,2,6,2,4,2,6,1,6,1,,5,2,4,2,4,2,4,2,4,1,4,1,,2,1,2,2,2,1,,2,2,1,1,1,1,,2,2,2,2,1,1,2,56,1,0,0,0,0,0,0,0,0,0,0,5,1,3,9,,3
